food,Energy,Carbs,Protein,Fiber,Fat,Sugar,Fat (mono),Fat (poly),Fat (sat),Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Thiamin (B1),Riboflavin (B2),Niacin (B3),Pantothenic acid (B5),Pyridoxine (B6),Folate (B9),Cobalmins (B12),Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Vitamin K
"Soybeans, mature seeds, raw",1156.0,30.16,36.49,9.3,19.94,7.33,4.404,11.255,2.884,0.0,277.0,1.658,15.7,280.0,2.517,704.0,1797.0,17.8,2.0,4.89,0.874,0.87,1.623,0.793,0.377,375.0,0.0,1.0,6.0,0.0,0.85,0.655,1.097,1.971,3.309,2.706,0.547,2.122,1.766,0.591,1.539,2.029,0.0,0.0,0.0,13.0,0.0,
"Broadbeans (fava beans), mature seeds, raw",883.0,58.29,26.12,25.0,1.53,5.7,0.303,0.627,0.254,0.0,103.0,0.824,6.7,192.0,1.626,421.0,1062.0,8.2,13.0,3.14,0.555,0.333,2.832,0.976,0.366,423.0,0.0,3.0,1.4,0.0,0.05,0.334,0.664,1.053,1.964,1.671,0.213,1.103,0.928,0.247,0.827,1.161,0.0,0.0,0.0,32.0,0.0,
"Peas, green, raw",210.0,14.45,5.42,5.7,0.4,5.67,0.035,0.187,0.071,0.0,25.0,0.176,1.47,33.0,0.41,108.0,244.0,1.8,5.0,1.24,0.266,0.132,2.09,0.104,0.169,65.0,0.0,38.0,40.0,0.0,0.13,0.032,0.107,0.195,0.323,0.317,0.082,0.2,0.203,0.037,0.114,0.235,0.0,2477.0,21.0,449.0,0.0,
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",979.5,62.95,20.47,12.2,6.04,10.7,1.377,2.731,0.603,0.0,57.0,0.656,4.31,79.0,21.306,252.0,718.0,0.0,24.0,2.76,0.477,0.212,1.541,1.588,0.535,557.0,0.0,3.0,4.0,0.0,0.82,0.279,0.566,0.882,1.465,1.377,0.27,1.103,0.766,0.2,0.512,0.865,0.0,0.0,0.0,40.0,0.0,
"Peas, green, split, mature seeds, raw",942.5,61.63,23.12,22.2,3.89,3.14,0.615,1.022,0.408,0.0,46.0,0.809,4.73,63.0,1.19,334.0,852.0,10.7,5.0,3.49,0.719,0.244,3.608,0.962,0.14,15.0,0.0,7.0,1.8,0.0,0.12,0.273,0.586,0.983,1.68,1.771,0.195,1.151,0.813,0.159,0.518,1.035,0.0,0.0,0.0,89.0,0.0,15.9
"Nuts, brazilnuts, dried, unblanched",1708.0,11.74,14.32,7.5,67.1,2.33,23.879,24.399,16.134,0.0,160.0,1.743,2.43,376.0,1.223,725.0,659.0,1917.0,3.0,4.06,0.617,0.035,0.295,0.184,0.101,22.0,0.0,0.0,0.7,0.0,5.65,0.306,0.409,0.518,1.19,0.49,1.124,0.639,0.365,0.135,0.416,0.76,0.0,0.0,0.0,0.0,0.0,
"Nuts, cashew nuts, raw",1433.5,30.19,18.22,3.3,43.85,5.91,23.797,7.845,7.783,0.0,37.0,2.195,6.68,292.0,1.655,593.0,660.0,19.9,12.0,5.78,0.423,0.058,1.062,0.864,0.417,25.0,0.0,0.0,0.5,0.0,0.9,0.393,0.456,0.789,1.472,0.928,0.362,0.951,0.688,0.287,0.508,1.094,0.0,22.0,0.0,0.0,0.0,
"Nuts, hazelnuts or filberts",1628.5,16.7,14.95,9.7,60.75,4.34,45.652,7.92,4.464,0.0,114.0,1.725,4.7,163.0,6.175,290.0,680.0,2.4,0.0,2.45,0.643,0.113,1.8,0.918,0.563,113.0,0.0,1.0,6.3,0.0,15.03,0.277,0.432,0.545,1.063,0.42,0.221,0.663,0.497,0.193,0.362,0.701,0.0,92.0,3.0,11.0,0.0,
"Nuts, macadamia nuts, raw",1861.0,13.82,7.91,8.6,75.77,4.57,58.877,1.502,12.061,0.0,85.0,0.756,3.69,130.0,4.131,188.0,368.0,3.6,5.0,1.3,1.195,0.162,2.473,0.758,0.275,11.0,0.0,0.0,1.2,0.0,0.54,0.006,0.195,0.314,0.602,0.018,0.023,0.665,0.37,0.067,0.511,0.363,,,,,,
"Nuts, pine nuts, dried",1744.5,13.08,13.69,3.7,68.37,3.59,18.764,34.071,4.899,0.0,16.0,1.324,5.53,251.0,8.802,575.0,597.0,0.7,2.0,6.45,0.364,0.227,4.387,0.313,0.094,34.0,0.0,1.0,0.8,0.0,9.33,0.289,0.341,0.542,0.991,0.54,0.259,0.524,0.37,0.107,0.509,0.687,0.0,9.0,0.0,17.0,0.0,
"Nuts, pistachio nuts, raw",1451.0,27.17,20.16,10.6,45.32,7.66,23.257,14.38,5.907,0.0,105.0,1.3,3.92,121.0,1.2,490.0,1025.0,7.0,1.0,2.2,0.87,0.16,1.3,0.52,1.7,51.0,0.0,26.0,5.6,0.0,2.86,0.292,0.512,0.917,1.604,1.138,0.36,1.092,0.684,0.251,0.509,1.249,,2903.0,10.0,305.0,0.0,
"Nuts, walnuts, english",1696.0,13.71,15.23,6.7,65.21,2.61,8.933,47.174,6.126,0.0,98.0,1.586,2.91,158.0,3.414,346.0,441.0,4.9,2.0,3.09,0.341,0.15,1.125,0.57,0.537,98.0,0.0,1.0,1.3,0.0,0.7,0.208,0.391,0.625,1.17,0.424,0.236,0.711,0.596,0.17,0.406,0.753,0.0,9.0,0.0,12.0,0.0,
"Nuts, coconut meat, dried (desiccated), not sweetened",1710.5,23.65,6.88,16.3,64.53,7.35,2.745,0.706,57.218,0.0,26.0,0.796,3.32,90.0,2.745,206.0,543.0,18.5,37.0,2.01,0.06,0.1,0.603,0.8,0.3,9.0,0.0,0.0,1.5,0.0,0.44,0.136,0.158,0.27,0.511,0.304,0.129,0.349,0.251,0.081,0.213,0.417,0.0,0.0,0.0,0.0,0.0,
